<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,15,20210301,101500,219.1900000
GAZP,15,20210301,103000,219.3300000
GAZP,15,20210301,104500,219.0400000
GAZP,15,20210301,110000,219.3800000
GAZP,15,20210301,111500,219.4900000
GAZP,15,20210301,113000,219.2100000
GAZP,15,20210301,114500,219.6300000
GAZP,15,20210301,120000,219.4200000
GAZP,15,20210301,121500,219.1400000
GAZP,15,20210301,123000,219.0900000
GAZP,15,20210301,124500,219.0300000
GAZP,15,20210301,130000,219.1800000
GAZP,15,20210301,131500,219.1300000
GAZP,15,20210301,133000,219.3500000
GAZP,15,20210301,134500,219.7100000
GAZP,15,20210301,140000,219.2900000
GAZP,15,20210301,141500,219.2300000
GAZP,15,20210301,143000,219.2700000
GAZP,15,20210301,144500,219.1100000
GAZP,15,20210301,150000,218.9100000
GAZP,15,20210301,151500,219.2000000
GAZP,15,20210301,153000,219.5200000
GAZP,15,20210301,154500,219.7900000
GAZP,15,20210301,160000,219.8400000
GAZP,15,20210301,161500,219.8000000
GAZP,15,20210301,163000,219.6700000
GAZP,15,20210301,164500,220.1300000
GAZP,15,20210301,170000,219.6500000
GAZP,15,20210301,171500,220.6800000
GAZP,15,20210301,173000,220.3300000
GAZP,15,20210301,174500,220.8500000
GAZP,15,20210301,180000,220.8000000
GAZP,15,20210301,181500,221.4300000
GAZP,15,20210301,183000,221.5300000
GAZP,15,20210301,184500,221.3200000
GAZP,15,20210301,190000,221.2400000
GAZP,15,20210301,191500,221.5900000
GAZP,15,20210301,193000,221.4900000
GAZP,15,20210301,194500,221.5500000
GAZP,15,20210301,200000,221.5000000
GAZP,15,20210301,201500,221.2600000
GAZP,15,20210301,203000,221.1700000
GAZP,15,20210301,204500,221.1000000
GAZP,15,20210301,210000,220.9000000
GAZP,15,20210301,211500,220.7500000
GAZP,15,20210301,213000,220.7900000
GAZP,15,20210301,214500,220.9800000
GAZP,15,20210301,220000,220.9600000
GAZP,15,20210301,221500,221.1200000
GAZP,15,20210301,223000,221.1000000
GAZP,15,20210301,224500,221.3700000
GAZP,15,20210301,230000,221.3300000
GAZP,15,20210301,231500,221.2000000
GAZP,15,20210301,233000,221.0900000
GAZP,15,20210301,234500,221.2000000
GAZP,15,20210302,000000,221.4700000
GAZP,15,20210302,101500,219.8900000
GAZP,15,20210302,103000,220.3000000
GAZP,15,20210302,104500,220.2600000
GAZP,15,20210302,110000,220.5000000
GAZP,15,20210302,111500,220.7700000
GAZP,15,20210302,113000,220.6300000
GAZP,15,20210302,114500,221.0600000
GAZP,15,20210302,120000,220.6900000
GAZP,15,20210302,121500,221.1300000
GAZP,15,20210302,123000,221.3900000
GAZP,15,20210302,124500,221.6600000
GAZP,15,20210302,130000,220.9300000
GAZP,15,20210302,131500,220.5600000
GAZP,15,20210302,133000,220.8000000
GAZP,15,20210302,134500,220.7000000
GAZP,15,20210302,140000,220.4000000
GAZP,15,20210302,141500,220.3600000
GAZP,15,20210302,143000,221.0700000
GAZP,15,20210302,144500,221.2700000
GAZP,15,20210302,150000,222.3300000
GAZP,15,20210302,151500,222.7800000
GAZP,15,20210302,153000,222.9700000
GAZP,15,20210302,154500,223.1100000
GAZP,15,20210302,160000,222.9500000
GAZP,15,20210302,161500,222.8900000
GAZP,15,20210302,163000,222.5200000
GAZP,15,20210302,164500,222.3800000
GAZP,15,20210302,170000,223.1400000
GAZP,15,20210302,171500,222.8500000
GAZP,15,20210302,173000,223.6000000
GAZP,15,20210302,174500,223.2700000
GAZP,15,20210302,180000,223.6500000
GAZP,15,20210302,181500,222.9900000
GAZP,15,20210302,183000,223.0500000
GAZP,15,20210302,184500,222.9100000
GAZP,15,20210302,190000,223.2300000
GAZP,15,20210302,191500,222.5900000
GAZP,15,20210302,193000,222.3500000
GAZP,15,20210302,194500,221.9800000
GAZP,15,20210302,200000,222.4800000
GAZP,15,20210302,201500,222.6000000
GAZP,15,20210302,203000,222.6800000
GAZP,15,20210302,204500,223.2000000
GAZP,15,20210302,210000,223.1100000
GAZP,15,20210302,211500,223.1900000
GAZP,15,20210302,213000,223.0800000
GAZP,15,20210302,214500,223.3300000
GAZP,15,20210302,220000,223.2500000
GAZP,15,20210302,221500,222.7900000
GAZP,15,20210302,223000,222.5900000
GAZP,15,20210302,224500,222.5300000
GAZP,15,20210302,230000,222.9300000
GAZP,15,20210302,231500,222.8900000
GAZP,15,20210302,233000,222.5900000
GAZP,15,20210302,234500,222.6200000
GAZP,15,20210303,000000,222.7400000
