<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,5,20210312,155500,232.4800000
GAZP,5,20210312,160000,232.3000000
GAZP,5,20210312,160500,232.1100000
GAZP,5,20210312,161000,231.9400000
GAZP,5,20210312,161500,232.0600000
GAZP,5,20210312,162000,232.0900000
GAZP,5,20210312,162500,232.0100000
GAZP,5,20210312,163000,232.1000000
GAZP,5,20210312,163500,232.0900000
GAZP,5,20210312,164000,232.2200000
GAZP,5,20210312,164500,232.2800000
GAZP,5,20210312,165000,232.1200000
GAZP,5,20210312,165500,232.0400000
GAZP,5,20210312,170000,231.7000000
GAZP,5,20210312,170500,231.7200000
GAZP,5,20210312,171000,231.7300000
GAZP,5,20210312,171500,231.7700000
GAZP,5,20210312,172000,231.9500000
GAZP,5,20210312,172500,232.0600000
GAZP,5,20210312,173000,232.1100000
GAZP,5,20210312,173500,232.5500000
GAZP,5,20210312,174000,232.1900000
GAZP,5,20210312,174500,232.6700000
GAZP,5,20210312,175000,232.5400000
GAZP,5,20210312,175500,233.0000000
GAZP,5,20210312,180000,233.6700000
GAZP,5,20210312,180500,233.8100000
GAZP,5,20210312,181000,233.6400000
GAZP,5,20210312,181500,233.6400000
GAZP,5,20210312,182000,233.7100000
GAZP,5,20210312,182500,233.4800000
GAZP,5,20210312,183000,233.6000000
GAZP,5,20210312,183500,233.4800000
GAZP,5,20210312,184000,233.5000000
GAZP,5,20210312,185000,233.4900000
GAZP,5,20210312,190500,233.4100000
GAZP,5,20210312,191000,233.8400000
GAZP,5,20210312,191500,234.1000000
GAZP,5,20210312,192000,234.0400000
GAZP,5,20210312,192500,233.9200000
GAZP,5,20210312,193000,234.1300000
GAZP,5,20210312,193500,234.1000000
GAZP,5,20210312,194000,234.0700000
GAZP,5,20210312,194500,234.2500000
GAZP,5,20210312,195000,234.2700000
GAZP,5,20210312,195500,234.3500000
GAZP,5,20210312,200000,234.1000000
GAZP,5,20210312,200500,233.9000000
GAZP,5,20210312,201000,234.0900000
GAZP,5,20210312,201500,234.1000000
GAZP,5,20210312,202000,234.1000000
GAZP,5,20210312,202500,234.0900000
GAZP,5,20210312,203000,234.2000000
GAZP,5,20210312,203500,234.2100000
GAZP,5,20210312,204000,234.0900000
GAZP,5,20210312,204500,233.8200000
GAZP,5,20210312,205000,233.9000000
GAZP,5,20210312,205500,233.9700000
GAZP,5,20210312,210000,233.9300000
GAZP,5,20210312,210500,233.6200000
GAZP,5,20210312,211000,233.6900000
GAZP,5,20210312,211500,233.8000000
GAZP,5,20210312,212000,233.8500000
GAZP,5,20210312,212500,233.8000000
GAZP,5,20210312,213000,233.7500000
GAZP,5,20210312,213500,233.8000000
GAZP,5,20210312,214000,233.8900000
GAZP,5,20210312,214500,233.8200000
GAZP,5,20210312,215000,233.8100000
GAZP,5,20210312,215500,233.9200000
GAZP,5,20210312,220000,233.8800000
GAZP,5,20210312,220500,233.7200000
GAZP,5,20210312,221000,233.8500000
GAZP,5,20210312,221500,233.8600000
GAZP,5,20210312,222000,233.9400000
GAZP,5,20210312,222500,233.9000000
GAZP,5,20210312,223000,233.7800000
GAZP,5,20210312,223500,233.7600000
GAZP,5,20210312,224000,233.8400000
GAZP,5,20210312,224500,233.7700000
GAZP,5,20210312,225000,233.6800000
GAZP,5,20210312,225500,233.7000000
GAZP,5,20210312,230000,233.6000000
GAZP,5,20210312,230500,233.6200000
GAZP,5,20210312,231000,233.7000000
GAZP,5,20210312,231500,233.5000000
GAZP,5,20210312,232000,233.6300000
GAZP,5,20210312,232500,233.6700000
GAZP,5,20210312,233000,233.6500000
GAZP,5,20210312,233500,233.5800000
GAZP,5,20210312,234000,233.7000000
GAZP,5,20210312,234500,233.7000000
GAZP,5,20210312,235000,233.8000000
