<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,5,20210312,100500,232.1500000
GAZP,5,20210312,101000,231.5100000
GAZP,5,20210312,101500,231.5400000
GAZP,5,20210312,102000,231.4000000
GAZP,5,20210312,102500,231.6500000
GAZP,5,20210312,103000,231.3200000
GAZP,5,20210312,103500,231.1400000
GAZP,5,20210312,104000,230.8100000
GAZP,5,20210312,104500,231.1500000
GAZP,5,20210312,105000,231.5600000
GAZP,5,20210312,105500,231.5600000
GAZP,5,20210312,110000,231.3600000
GAZP,5,20210312,110500,231.6800000
GAZP,5,20210312,111000,231.4500000
GAZP,5,20210312,111500,231.3300000
GAZP,5,20210312,112000,231.7000000
GAZP,5,20210312,112500,232.0200000
GAZP,5,20210312,113000,232.0900000
GAZP,5,20210312,113500,232.2400000
GAZP,5,20210312,114000,232.0800000
GAZP,5,20210312,114500,231.6000000
GAZP,5,20210312,115000,231.1500000
GAZP,5,20210312,115500,231.3900000
GAZP,5,20210312,120000,231.5100000
GAZP,5,20210312,120500,231.5000000
GAZP,5,20210312,121000,231.6000000
GAZP,5,20210312,121500,231.6000000
GAZP,5,20210312,122000,231.3300000
GAZP,5,20210312,122500,231.5000000
GAZP,5,20210312,123000,231.8700000
GAZP,5,20210312,123500,231.9900000
GAZP,5,20210312,124000,231.8500000
GAZP,5,20210312,124500,231.9200000
GAZP,5,20210312,125000,231.9600000
GAZP,5,20210312,125500,231.8000000
GAZP,5,20210312,130000,231.9900000
GAZP,5,20210312,130500,231.9000000
GAZP,5,20210312,131000,231.8400000
GAZP,5,20210312,131500,231.8400000
GAZP,5,20210312,132000,232.1600000
GAZP,5,20210312,132500,232.3300000
GAZP,5,20210312,133000,232.2500000
GAZP,5,20210312,133500,232.7200000
GAZP,5,20210312,134000,232.3000000
GAZP,5,20210312,134500,232.1700000
GAZP,5,20210312,135000,232.0900000
GAZP,5,20210312,135500,232.0900000
GAZP,5,20210312,140000,231.9400000
GAZP,5,20210312,140500,232.4800000
GAZP,5,20210312,141000,232.1200000
GAZP,5,20210312,141500,232.2900000
GAZP,5,20210312,142000,231.9800000
GAZP,5,20210312,142500,231.9500000
GAZP,5,20210312,143000,231.6800000
GAZP,5,20210312,143500,231.7000000
GAZP,5,20210312,144000,231.7400000
GAZP,5,20210312,144500,231.7000000
GAZP,5,20210312,145000,231.9700000
GAZP,5,20210312,145500,232.0400000
GAZP,5,20210312,150000,232.3300000
GAZP,5,20210312,150500,232.4200000
GAZP,5,20210312,151000,232.3300000
GAZP,5,20210312,151500,232.1400000
GAZP,5,20210312,152000,232.0800000
GAZP,5,20210312,152500,232.1900000
GAZP,5,20210312,153000,232.3400000
GAZP,5,20210312,153500,232.5300000
GAZP,5,20210312,154000,232.3500000
GAZP,5,20210312,154500,232.5800000
GAZP,5,20210312,155000,232.5900000
